START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
09/23/2014,7:30 PM,10:30 PM,Vancouver 2 - San Jose 5,Stockton Arena - Stockton, Ca, ,09/23/2014,09/24/2014,10:30 PM,1:30 AM,FALSE,TRUE,09/23/2014,6:30 PM,9:30 PM,FREE,BUSY
09/26/2014,7:30 PM,10:30 PM,Arizona 2 - San Jose 1,SAP Center at San Jose - San Jose, ,09/26/2014,09/27/2014,10:30 PM,1:30 AM,FALSE,TRUE,09/26/2014,6:30 PM,9:30 PM,FREE,BUSY
09/27/2014,5:00 PM,8:00 PM,Anaheim 1 - San Jose 3,SAP Center at San Jose - San Jose, ,09/27/2014,09/27/2014,8:00 PM,11:00 PM,FALSE,TRUE,09/27/2014,4:00 PM,7:00 PM,FREE,BUSY
09/30/2014,7:30 PM,10:30 PM,Los Angeles 4 - San Jose 1,SAP Center at San Jose - San Jose, ,09/30/2014,10/01/2014,10:30 PM,1:30 AM,FALSE,TRUE,09/30/2014,6:30 PM,9:30 PM,FREE,BUSY
10/11/2014,7:00 PM,10:00 PM,Winnipeg 0 - San Jose 3,SAP Center at San Jose - San Jose - CA,SN360 /  CSN-CA,10/11/2014,10/12/2014,10:00 PM,1:00 AM,FALSE,TRUE,10/11/2014,6:00 PM,9:00 PM,FREE,BUSY
10/23/2014,7:30 PM,10:30 PM,Columbus at San Jose,SAP Center at San Jose - San Jose - CA,FS-O /  CSN-CA,10/23/2014,10/24/2014,10:30 PM,1:30 AM,FALSE,TRUE,10/23/2014,6:30 PM,9:30 PM,FREE,BUSY
10/25/2014,1:00 PM,4:00 PM,Buffalo at San Jose,SAP Center at San Jose - San Jose - CA,MSG-B / BELL TV /  CSN-CA,10/25/2014,10/25/2014,4:00 PM,7:00 PM,FALSE,TRUE,10/25/2014,12:00 PM,3:00 PM,FREE,BUSY
11/01/2014,7:30 PM,10:30 PM,Ny Islanders at San Jose,SAP Center at San Jose - San Jose - CA,MSG PLUS /  CSN-CA,11/01/2014,11/02/2014,10:30 PM,1:30 AM,FALSE,TRUE,11/01/2014,6:30 PM,9:30 PM,FREE,BUSY
11/06/2014,7:30 PM,10:30 PM,Vancouver at San Jose,SAP Center at San Jose - San Jose - CA,SN360 /  CSN-CA,11/06/2014,11/07/2014,10:30 PM,1:30 AM,FALSE,TRUE,11/06/2014,6:30 PM,9:30 PM,FREE,BUSY
11/20/2014,7:30 PM,10:30 PM,Florida at San Jose,SAP Center at San Jose - San Jose - CA,FS-F /  CSN-CA,11/20/2014,11/21/2014,10:30 PM,1:30 AM,FALSE,TRUE,11/20/2014,6:30 PM,9:30 PM,FREE,BUSY
11/22/2014,7:30 PM,10:30 PM,Arizona at San Jose,SAP Center at San Jose - San Jose - CA,FS-A /  CSN-CA,11/22/2014,11/23/2014,10:30 PM,1:30 AM,FALSE,TRUE,11/22/2014,6:30 PM,9:30 PM,FREE,BUSY
11/26/2014,7:30 PM,10:30 PM,Calgary at San Jose,SAP Center at San Jose - San Jose - CA,SNW /  CSN-CA,11/26/2014,11/27/2014,10:30 PM,1:30 AM,FALSE,TRUE,11/26/2014,6:30 PM,9:30 PM,FREE,BUSY
11/29/2014,7:30 PM,10:30 PM,Anaheim at San Jose,SAP Center at San Jose - San Jose - CA,KCOP-13 /  CSN-CA,11/29/2014,11/30/2014,10:30 PM,1:30 AM,FALSE,TRUE,11/29/2014,6:30 PM,9:30 PM,FREE,BUSY
12/02/2014,7:00 PM,10:00 PM,Philadelphia at San Jose,SAP Center at San Jose - San Jose - CA,NBCSN /  CSN-PH,12/02/2014,12/03/2014,10:00 PM,1:00 AM,FALSE,TRUE,12/02/2014,6:00 PM,9:00 PM,FREE,BUSY
12/04/2014,7:30 PM,10:30 PM,Boston at San Jose,SAP Center at San Jose - San Jose - CA,SN360 /  NESN /  CSN-CA,12/04/2014,12/05/2014,10:30 PM,1:30 AM,FALSE,TRUE,12/04/2014,6:30 PM,9:30 PM,FREE,BUSY
12/09/2014,7:30 PM,10:30 PM,Edmonton at San Jose,SAP Center at San Jose - San Jose - CA,SNW /  CSN-CA,12/09/2014,12/10/2014,10:30 PM,1:30 AM,FALSE,TRUE,12/09/2014,6:30 PM,9:30 PM,FREE,BUSY
12/11/2014,7:30 PM,10:30 PM,Minnesota at San Jose,SAP Center at San Jose - San Jose - CA,FS-N / FS-WI /  CSN-CA,12/11/2014,12/12/2014,10:30 PM,1:30 AM,FALSE,TRUE,12/11/2014,6:30 PM,9:30 PM,FREE,BUSY
12/13/2014,7:30 PM,10:30 PM,Nashville at San Jose,SAP Center at San Jose - San Jose - CA,FS-TN /  CSN-CA,12/13/2014,12/14/2014,10:30 PM,1:30 AM,FALSE,TRUE,12/13/2014,6:30 PM,9:30 PM,FREE,BUSY
12/18/2014,7:30 PM,10:30 PM,Edmonton at San Jose,SAP Center at San Jose - San Jose - CA,SN360 /  CSN-CA,12/18/2014,12/19/2014,10:30 PM,1:30 AM,FALSE,TRUE,12/18/2014,6:30 PM,9:30 PM,FREE,BUSY
12/20/2014,7:30 PM,10:30 PM,St Louis at San Jose,SAP Center at San Jose - San Jose - CA,FS-MW /  CSN-CA,12/20/2014,12/21/2014,10:30 PM,1:30 AM,FALSE,TRUE,12/20/2014,6:30 PM,9:30 PM,FREE,BUSY
12/30/2014,7:00 PM,10:00 PM,Vancouver at San Jose,SAP Center at San Jose - San Jose - CA,SNP /  CSN-CA,12/30/2014,12/31/2014,10:00 PM,1:00 AM,FALSE,TRUE,12/30/2014,6:00 PM,9:00 PM,FREE,BUSY
01/03/2015,7:30 PM,10:30 PM,St Louis at San Jose,SAP Center at San Jose - San Jose - CA,FS-MW /  CSN-CA,01/03/2015,01/04/2015,10:30 PM,1:30 AM,FALSE,TRUE,01/03/2015,6:30 PM,9:30 PM,FREE,BUSY
01/10/2015,7:00 PM,10:00 PM,Ny Rangers at San Jose,SAP Center at San Jose - San Jose - CA,HNIC / TVA2 /  MSG /  CSN-CA,01/10/2015,01/11/2015,10:00 PM,1:00 AM,FALSE,TRUE,01/10/2015,6:00 PM,9:00 PM,FREE,BUSY
01/15/2015,7:30 PM,10:30 PM,Toronto at San Jose,SAP Center at San Jose - San Jose - CA,TSN4 /  CSN-CA,01/15/2015,01/16/2015,10:30 PM,1:30 AM,FALSE,TRUE,01/15/2015,6:30 PM,9:30 PM,FREE,BUSY
01/17/2015,7:00 PM,10:00 PM,Calgary at San Jose,SAP Center at San Jose - San Jose - CA,HNIC /  CSN-CA,01/17/2015,01/18/2015,10:00 PM,1:00 AM,FALSE,TRUE,01/17/2015,6:00 PM,9:00 PM,FREE,BUSY
01/19/2015,7:30 PM,10:30 PM,New Jersey at San Jose,SAP Center at San Jose - San Jose - CA,MSG PLUS /  CSN-CA,01/19/2015,01/20/2015,10:30 PM,1:30 AM,FALSE,TRUE,01/19/2015,6:30 PM,9:30 PM,FREE,BUSY
01/21/2015,7:30 PM,10:30 PM,Los Angeles at San Jose,SAP Center at San Jose - San Jose - CA,NBCSN,01/21/2015,01/22/2015,10:30 PM,1:30 AM,FALSE,TRUE,01/21/2015,6:30 PM,9:30 PM,FREE,BUSY
01/29/2015,7:00 PM,10:00 PM,Anaheim at San Jose,SAP Center at San Jose - San Jose - CA,NBCSN,01/29/2015,01/30/2015,10:00 PM,1:00 AM,FALSE,TRUE,01/29/2015,6:00 PM,9:00 PM,FREE,BUSY
01/31/2015,7:30 PM,10:30 PM,Chicago at San Jose,SAP Center at San Jose - San Jose - CA,CSN-CH /  CSN-CA,01/31/2015,02/01/2015,10:30 PM,1:30 AM,FALSE,TRUE,01/31/2015,6:30 PM,9:30 PM,FREE,BUSY
02/02/2015,7:30 PM,10:30 PM,Edmonton at San Jose,SAP Center at San Jose - San Jose - CA,SNOL /  CSN-CA,02/02/2015,02/03/2015,10:30 PM,1:30 AM,FALSE,TRUE,02/02/2015,6:30 PM,9:30 PM,FREE,BUSY
02/07/2015,7:30 PM,10:30 PM,Carolina at San Jose,SAP Center at San Jose - San Jose - CA,FS-CR /  CSN-CA,02/07/2015,02/08/2015,10:30 PM,1:30 AM,FALSE,TRUE,02/07/2015,6:30 PM,9:30 PM,FREE,BUSY
02/09/2015,7:30 PM,10:30 PM,Calgary at San Jose,SAP Center at San Jose - San Jose - CA,SNW /  CSN-CA,02/09/2015,02/10/2015,10:30 PM,1:30 AM,FALSE,TRUE,02/09/2015,6:30 PM,9:30 PM,FREE,BUSY
02/11/2015,7:30 PM,10:30 PM,Washington at San Jose,SAP Center at San Jose - San Jose - CA,NBCSN,02/11/2015,02/12/2015,10:30 PM,1:30 AM,FALSE,TRUE,02/11/2015,6:30 PM,9:30 PM,FREE,BUSY
02/15/2015,5:00 PM,8:00 PM,Tampa Bay at San Jose,SAP Center at San Jose - San Jose - CA,SUN /  CSN-CA,02/15/2015,02/15/2015,8:00 PM,11:00 PM,FALSE,TRUE,02/15/2015,4:00 PM,7:00 PM,FREE,BUSY
02/21/2015,7:00 PM,10:00 PM,Los Angeles at San Jose,Levi's Stadium - San Jose - CA,NBCSN / HNIC / TVA2,02/21/2015,02/22/2015,10:00 PM,1:00 AM,FALSE,TRUE,02/21/2015,6:00 PM,9:00 PM,FREE,BUSY
02/26/2015,7:30 PM,10:30 PM,Detroit at San Jose,SAP Center at San Jose - San Jose - CA,SN360 /  FS-D /  CSN-CA,02/26/2015,02/27/2015,10:30 PM,1:30 AM,FALSE,TRUE,02/26/2015,6:30 PM,9:30 PM,FREE,BUSY
02/28/2015,7:30 PM,10:30 PM,Ottawa at San Jose,SAP Center at San Jose - San Jose - CA,HNIC / TVA2 /  CSN-CA,02/28/2015,03/01/2015,10:30 PM,1:30 AM,FALSE,TRUE,02/28/2015,6:30 PM,9:30 PM,FREE,BUSY
